Symbol: SPSC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,33.0,$30.04,8/25/17,,($12.38),33.0,
2,keepbusy_cross(SELL),Sell to Close,-33.0,$29.67,8/28/17,($12.00),($12.00),0.0,
