Symbol: EHC Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,21.0,$46.40,10/20/17,,$3.78,21.0,
2,keepbusy_cross(SELL),Sell to Close,-21.0,$45.51,10/26/17,($18.67),($18.67),0.0,
