Symbol: EW Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,404.0,$2.47,11/21/03,,$2.02,404.0,
2,keepbusy_cross(SELL),Sell to Close,-404.0,$2.57,3/12/04,$40.47,$40.47,0.0,
3,keepbusy_cross(Buy),Buy to Open,82.0,$12.16,4/20/12,,$46.48,82.0,
4,keepbusy_cross(SELL),Sell to Close,-82.0,$14.93,10/10/12,$227.28,$267.75,0.0,
5,keepbusy_cross(Buy),Buy to Open,18.0,$53.04,1/18/19,,$323.55,18.0,
6,keepbusy_cross(SELL),Sell to Close,-18.0,$57.93,5/20/19,$88.11,$355.86,0.0,
7,keepbusy_cross(Buy),Buy to Open,13.0,$71.85,7/17/20,,$385.24,13.0,
8,keepbusy_cross(SELL),Sell to Close,-13.0,$75.47,9/25/20,$47.11,$402.97,0.0,
