Symbol: VRSN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,12.0,$80.85,1/9/17,,$11.64,12.0,
2,keepbusy_cross(SELL),Sell to Close,-12.0,$111.12,2/6/18,$363.30,$363.30,0.0,
