Symbol: CE Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,20.0,$48.40,4/27/12,,$25.00,20.0,
2,keepbusy_cross(SELL),Sell to Close,-20.0,$46.92,5/7/12,($29.53),($29.53),0.0,
