Symbol: FHB Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,34.0,$29.27,12/1/17,,$11.90,34.0,
2,keepbusy_cross(SELL),Sell to Close,-34.0,$28.89,12/4/17,($13.08),($13.08),0.0,
