Symbol: CAE Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,72.0,$13.75,3/22/96,,$18.00,72.0,
2,keepbusy_cross(SELL),Sell to Close,-72.0,$13.67,3/25/96,($5.89),($5.89),0.0,
