Symbol: PRKS Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,18.0,$54.06,10/18/24,,($25.02),18.0,
2,keepbusy_cross(SELL),Sell to Close,-18.0,$52.59,12/20/24,($26.52),($26.52),0.0,
