Symbol: BATRK Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,37.0,$26.74,10/15/21,,$0.74,37.0,
2,keepbusy_cross(SELL),Sell to Close,-37.0,$27.22,12/1/21,$17.77,$17.77,0.0,
3,keepbusy_cross(Buy),Buy to Open,24.0,$40.14,7/8/24,,$36.01,24.0,
4,keepbusy_cross(SELL),Sell to Close,-24.0,$40.54,9/12/24,$9.58,$27.34,0.0,
