Symbol: CVCO Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,26.0,$37.57,7/20/07,,$7.28,26.0,
2,keepbusy_cross(SELL),Sell to Close,-26.0,$35.92,7/25/07,($42.84),($42.84),0.0,
