Symbol: CARR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,22.0,$45.09,3/31/23,,$14.52,22.0,
2,keepbusy_cross(SELL),Sell to Close,-22.0,$44.14,4/5/23,($20.90),($20.90),0.0,
