Symbol: LKQ Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,36.0,$27.15,10/24/14,,$2.88,36.0,
2,keepbusy_cross(SELL),Sell to Close,-36.0,$26.55,10/31/14,($21.60),($21.60),0.0,
