Symbol: SIG Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,21.0,$46.89,8/10/12,,($6.72),21.0,
2,keepbusy_cross(SELL),Sell to Close,-21.0,$45.13,8/31/12,($37.03),($37.03),0.0,
