Symbol: MOAT Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,17.0,$56.93,10/9/20,,$5.44,17.0,
2,keepbusy_cross(SELL),Sell to Close,-17.0,$54.69,10/27/20,($38.00),($38.00),0.0,
