Symbol: TPG Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,30.0,$32.75,3/3/23,,$23.70,30.0,
2,keepbusy_cross(SELL),Sell to Close,-30.0,$32.11,3/8/23,($19.27),($19.27),0.0,
