Symbol: EAGG Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,21.0,$46.98,6/14/24,,$0.84,21.0,
2,keepbusy_cross(SELL),Sell to Close,-21.0,$46.26,7/2/24,($15.12),($15.12),0.0,
