Symbol: GWW Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,70.0,$14.22,2/12/88,,$8.75,70.0,
2,keepbusy_cross(SELL),Sell to Close,-70.0,$15.04,6/9/88,$57.68,$57.68,0.0,
3,keepbusy_cross(Buy),Buy to Open,20.0,$47.81,4/2/04,,$72.88,20.0,
4,keepbusy_cross(SELL),Sell to Close,-20.0,$52.36,7/29/04,$90.95,$148.63,0.0,
5,keepbusy_cross(Buy),Buy to Open,6.0,$156.21,10/14/11,,$158.83,6.0,
6,keepbusy_cross(SELL),Sell to Close,-6.0,$201.90,4/25/12,$274.11,$422.74,0.0,
7,keepbusy_cross(Buy),Buy to Open,3.0,$256.74,4/4/14,,$416.29,3.0,
8,keepbusy_cross(SELL),Sell to Close,-3.0,$252.00,4/8/14,($14.22),$408.52,0.0,
