Symbol: CW Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,246.0,$4.06,4/24/92,,$0.00,246.0,
2,keepbusy_cross(SELL),Sell to Close,-246.0,$3.88,5/15/92,($46.13),($46.13),0.0,
