Symbol: IGM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,86.0,$11.53,1/7/13,,($1.43),86.0,
2,keepbusy_cross(SELL),Sell to Close,-86.0,$11.67,4/19/13,$12.58,$12.58,0.0,
