Symbol: HAE Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,11.0,$89.73,9/1/23,,$5.61,11.0,
2,keepbusy_cross(SELL),Sell to Close,-11.0,$86.67,9/7/23,($33.71),($33.71),0.0,
