Symbol: GERN Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,166.0,$6.01,3/5/10,,$28.22,166.0,
2,keepbusy_cross(SELL),Sell to Close,-166.0,$5.81,3/23/10,($33.30),($33.30),0.0,
