Symbol: OMCL Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,68.0,$14.66,8/10/12,,($9.52),68.0,
2,keepbusy_cross(SELL),Sell to Close,-68.0,$14.23,8/14/12,($29.07),($29.07),0.0,
