Symbol: NTR Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,18.0,$53.84,8/2/19,,($5.76),18.0,
2,keepbusy_cross(SELL),Sell to Close,-18.0,$52.19,8/6/19,($29.78),($29.78),0.0,
