Symbol: NPO Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
1,keepbusy_cross(Buy),Buy to Open,10.0,$94.85,10/21/22,,$35.60,10.0,
2,keepbusy_cross(SELL),Sell to Close,-10.0,$110.01,2/22/23,$151.59,$151.59,0.0,
